B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
1454,270.0,1006.0,16.0,997,253.0,101.0,43.0,31.0,521,392,129.0,521,,102523,863.0,,631,,"Block Group 2, Census Tract 2505, Cook County, Illinois",17,031,250500,2,25,Austin,2014,170312505002,0.1856946354883081,0.6918844566712518,0.011004126547455296,428.0,0.4292878635907723,0.2476007677543186,0.7523992322456814,,102523,11.537852196494088,863.0,6.761572768804055,,
1241,1059.0,51.0,413.0,804,79.0,179.0,,,567,342,225.0,654,87.0,21790,837.0,,478,,"Block Group 6, Census Tract 2505, Cook County, Illinois",17,031,250500,6,25,Austin,2014,170312505006,0.8533440773569702,0.0410958904109589,0.33279613215149073,258.0,0.3208955223880597,0.3968253968253968,0.6031746031746031,0.13302752293577982,21790,9.989252319496922,837.0,6.731018100482083,,
791,541.0,157.0,,611,108.0,99.0,16.0,,297,297,,297,,63828,,,344,,"Block Group 3, Census Tract 2505, Cook County, Illinois",17,031,250500,3,25,Austin,2014,170312505003,0.683944374209861,0.19848293299620734,,223.0,0.3649754500818331,,1.0,,63828,11.063962911512936,,,,
697,379.0,289.0,186.0,532,136.0,82.0,,,265,265,,265,,87232,,,333,,"Block Group 4, Census Tract 2505, Cook County, Illinois",17,031,250500,4,25,Austin,2014,170312505004,0.5437589670014347,0.4146341463414634,0.266857962697274,218.0,0.40977443609022557,,1.0,,87232,11.376337978673549,,,,
1008,,1008.0,,647,,32.0,,,307,251,56.0,356,49.0,34875,727.0,,316,,"Block Group 1, Census Tract 2506, Cook County, Illinois",17,031,250600,1,25,Austin,2014,170312506001,,1.0,,32.0,0.04945904173106646,0.18241042345276873,0.8175895765472313,0.13764044943820225,34875,10.459554192547706,727.0,6.590301048196686,,
1007,20.0,859.0,125.0,697,43.0,74.0,,,331,212,119.0,347,16.0,37969,1018.0,,378,,"Block Group 2, Census Tract 2506, Cook County, Illinois",17,031,250600,2,25,Austin,2014,170312506002,0.019860973187686197,0.8530287984111221,0.12413108242303873,117.0,0.1678622668579627,0.3595166163141994,0.6404833836858006,0.04610951008645533,37969,10.544551653225849,1018.0,6.926577033222725,,
1088,,938.0,150.0,685,104.0,28.0,,,318,230,88.0,335,17.0,55156,894.0,,374,,"Block Group 3, Census Tract 2506, Cook County, Illinois",17,031,250600,3,25,Austin,2014,170312506003,,0.8621323529411765,0.13786764705882354,132.0,0.1927007299270073,0.27672955974842767,0.7232704402515723,0.050746268656716415,55156,10.91793894319107,894.0,6.796823718274855,,
1347,76.0,1271.0,51.0,838,45.0,25.0,,,339,222,117.0,358,19.0,68988,971.0,,541,,"Block Group 4, Census Tract 2506, Cook County, Illinois",17,031,250600,4,25,Austin,2014,170312506004,0.05642167780252413,0.9435783221974758,0.0378619153674833,70.0,0.08353221957040573,0.34513274336283184,0.6548672566371682,0.05307262569832402,68988,11.141702350580776,971.0,6.879355804460439,,
1074,,1074.0,,517,24.0,,,,368,12,356.0,438,70.0,28922,972.0,,393,,"Block Group 1, Census Tract 2507, Cook County, Illinois",17,031,250700,1,25,Austin,2014,170312507001,,1.0,,24.0,0.04642166344294004,0.967391304347826,0.03260869565217391,0.1598173515981735,28922,10.27239240533249,972.0,6.880384082186005,,
830,,830.0,,562,41.0,,,,273,108,165.0,296,23.0,32264,1081.0,,275,23.0,"Block Group 3, Census Tract 2507, Cook County, Illinois",17,031,250700,3,25,Austin,2014,170312507003,,1.0,,41.0,0.07295373665480427,0.6043956043956044,0.3956043956043956,0.0777027027027027,32264,10.38173833036994,1081.0,6.9865664594064265,,0.08363636363636363
1403,,1383.0,84.0,1033,24.0,40.0,10.0,,478,115,363.0,500,22.0,23625,939.0,,468,22.0,"Block Group 4, Census Tract 2507, Cook County, Illinois",17,031,250700,4,25,Austin,2014,170312507004,,0.9857448325017819,0.05987170349251604,74.0,0.07163601161665054,0.7594142259414226,0.2405857740585774,0.044,23625,10.070103079508465,939.0,6.84587987526405,,0.04700854700854701
1005,,1005.0,,681,,,,,381,89,292.0,467,86.0,26343,781.0,,296,,"Block Group 2, Census Tract 2507, Cook County, Illinois",17,031,250700,2,25,Austin,2014,170312507002,,1.0,,0.0,0.0,0.7664041994750657,0.2335958005249344,0.1841541755888651,26343,10.1789958240562,781.0,6.661854740545311,,
1501,25.0,1318.0,232.0,895,124.0,12.0,,,530,235,295.0,577,47.0,42258,926.0,,458,,"Block Group 5, Census Tract 2507, Cook County, Illinois",17,031,250700,5,25,Austin,2014,170312507005,0.016655562958027982,0.8780812791472352,0.15456362425049966,136.0,0.15195530726256984,0.5566037735849056,0.44339622641509435,0.08145580589254767,42258,10.65157262785174,926.0,6.831953565565855,,
1285,91.0,1098.0,183.0,884,35.0,50.0,,,460,254,206.0,504,44.0,36370,940.0,,463,23.0,"Block Group 2, Census Tract 2508, Cook County, Illinois",17,031,250800,2,25,Austin,2014,170312508002,0.07081712062256809,0.8544747081712062,0.1424124513618677,85.0,0.09615384615384616,0.44782608695652176,0.5521739130434783,0.0873015873015873,36370,10.50152703279139,940.0,6.846943139585379,,0.04967602591792657
1153,61.0,775.0,295.0,727,65.0,22.0,,,343,135,208.0,377,34.0,32219,988.0,,425,23.0,"Block Group 1, Census Tract 2508, Cook County, Illinois",17,031,250800,1,25,Austin,2014,170312508001,0.05290546400693842,0.6721595836947094,0.25585429314830876,87.0,0.11966987620357634,0.6064139941690962,0.3935860058309038,0.09018567639257294,32219,10.380342656730965,988.0,6.8966943316227125,,0.05411764705882353
